Tier_B_MW,Reliability_Deadline_B
13,100.0
14,100.0
15,100.0
16,99.45205479452055
17,99.45205479452055
18,99.45205479452055
19,99.17808219178083
20,98.9041095890411
21,98.63013698630137
22,97.26027397260275
23,96.43835616438356
24,95.89041095890411
25,95.89041095890411
26,94.79452054794521
27,93.97260273972603
28,93.97260273972603
29,92.87671232876711
30,92.32876712328768
31,92.32876712328768
32,92.05479452054794
33,90.68493150684931
34,89.58904109589041
35,87.94520547945206
36,87.67123287671232
37,85.47945205479452
38,84.65753424657534
39,83.83561643835617
40,83.56164383561644
41,82.1917808219178
42,79.72602739726027
43,78.08219178082192
44,76.98630136986301
45,74.52054794520548
46,72.87671232876713
47,71.23287671232876
48,68.49315068493152
49,65.20547945205479
50,63.01369863013699
